index,signal_factor,protocol,n,is_info,mean,std,median,min,max,feature_group
0,0.5,Bootstrap,32,False,0.07871684912184315,0.10739171804613365,0.057397272224353424,-0.3091571446145778,0.5010388916638919,noise
1,0.5,Bootstrap,32,True,0.09556357099013647,0.12162031263837747,0.07747779580212488,-0.3117336670343671,0.6639331168900671,informative
2,0.5,Bootstrap,64,False,0.09014363406866678,0.08451535905985569,0.08366050365099609,-0.17208108443152126,0.3806678774289274,noise
3,0.5,Bootstrap,64,True,0.08090781920876798,0.08143267902369214,0.07691390362861883,-0.12008519543944551,0.41927316978342843,informative
4,0.5,Bootstrap,128,False,0.078003732234801,0.05749699132297158,0.07687284440995468,-0.10000536133816107,0.31023161864108584,noise
5,0.5,Bootstrap,128,True,0.10521800271854473,0.061698419693242655,0.10488179745639559,-0.10240426863100893,0.3082885962698332,informative
6,0.5,Bootstrap,256,False,0.08716557100867867,0.04204359092819405,0.08610374213560146,-0.06944273820974489,0.22639356558654766,noise
7,0.5,Bootstrap,256,True,0.12019340407541047,0.04329268590043286,0.12051045670122007,-0.0329528567864239,0.25350034484868056,informative
8,0.5,Bootstrap,512,False,0.08988393417883384,0.029859034532024025,0.08950115589576857,-0.030436833348606918,0.1837046126122459,noise
9,0.5,Bootstrap,512,True,0.10981461772789353,0.031072995069975295,0.10954671184396947,-0.006855703827107984,0.2239757056796856,informative
10,0.5,Bootstrap,1024,False,0.09715565245508119,0.021887385314619465,0.09682802108644206,0.028732154431908796,0.16689381432382344,noise
11,0.5,Bootstrap,1024,True,0.11909716074274997,0.022163352283396037,0.11876518327058805,0.04346982652548492,0.19496250741726495,informative
12,0.5,Bootstrap,2048,False,0.09842209067497074,0.015650243780011893,0.09868492606999535,0.04112338398082871,0.152753421049451,noise
13,0.5,Bootstrap,2048,True,0.12293161134149377,0.0146148441147264,0.12305841921753657,0.07153306113987812,0.16503193983961228,informative
14,0.5,Bootstrap,4096,False,0.09841628605712913,0.010635736968571147,0.09833460483811218,0.056366032585863035,0.13608530950478315,noise
15,0.5,Bootstrap,4096,True,0.11964620169252578,0.011223373324787832,0.11928273301403247,0.0842074426707442,0.15324256501763323,informative
16,0.5,Bootstrap,8192,False,0.09870997027884744,0.00751085473161746,0.09874675437294833,0.06474140026340747,0.12593828951577812,noise
17,0.5,Bootstrap,8192,True,0.12357076755631606,0.007477465628432418,0.12352085386602907,0.09651805677800107,0.14397659473442648,informative
