signal_factor,n,seed,protocol,n_iter,variable,is_info,delta
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.06182110714091449
0.5,32,0,Bootstrap,100,$X_1$,True,0.1304706146412835
0.5,32,0,Bootstrap,100,$Z_1$,False,0.00567574141974303
0.5,32,0,Bootstrap,100,$Z_2$,False,0.05229234497815538
0.5,32,0,Bootstrap,100,$Z_3$,False,0.018612558295462822
0.5,32,0,Bootstrap,100,$X_1$,True,0.09685106699551627
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.027682301733001236
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.07928203842725878
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.010238365086710388
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.06078330325668713
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.0989041617546147
0.5,32,0,Bootstrap,100,$X_1$,True,0.07638940294469787
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.054026339800626655
0.5,32,0,Bootstrap,100,$X_1$,True,-0.0007798383875230464
0.5,32,0,Bootstrap,100,$Z_1$,False,0.1718048891629096
0.5,32,0,Bootstrap,100,$Z_2$,False,0.04974089700289408
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.020363032970717843
0.5,32,0,Bootstrap,100,$X_1$,True,0.0012608422692625965
0.5,32,0,Bootstrap,100,$Z_1$,False,0.06044908675882965
0.5,32,0,Bootstrap,100,$Z_2$,False,0.05073515893828384
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.03727468035111592
0.5,32,0,Bootstrap,100,$X_1$,True,0.014490028966131607
0.5,32,0,Bootstrap,100,$Z_1$,False,0.29892379883188736
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.028065780751832303
0.5,32,0,Bootstrap,100,$Z_3$,False,0.17070967568021844
0.5,32,0,Bootstrap,100,$X_1$,True,0.021413604777575035
0.5,32,0,Bootstrap,100,$Z_1$,False,0.2806501850547449
0.5,32,0,Bootstrap,100,$Z_2$,False,0.09377731643356668
0.5,32,0,Bootstrap,100,$Z_3$,False,0.021427593410278334
0.5,32,0,Bootstrap,100,$X_1$,True,0.03479745730863515
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.030661341178033652
0.5,32,0,Bootstrap,100,$X_1$,True,0.08106503011572963
0.5,32,0,Bootstrap,100,$Z_1$,False,0.3428606034740449
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.16742051490871424
0.5,32,0,Bootstrap,100,$Z_3$,False,0.02849958340965797
0.5,32,0,Bootstrap,100,$X_1$,True,-0.009324963231213346
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0024074769866695434
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.02393431221556197
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.06133376003132529
0.5,32,0,Bootstrap,100,$X_1$,True,0.1404838395877004
0.5,32,0,Bootstrap,100,$Z_1$,False,0.08637465937321176
0.5,32,0,Bootstrap,100,$Z_2$,False,0.426293213900899
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.01980535688454932
0.5,32,0,Bootstrap,100,$X_1$,True,0.10096961297861062
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.07509391816309652
0.5,32,0,Bootstrap,100,$Z_3$,False,0.1090992036788796
0.5,32,0,Bootstrap,100,$X_1$,True,0.04686549110223348
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.11580776348444521
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.05524260502111522
0.5,32,0,Bootstrap,100,$X_1$,True,0.036255064380064095
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.15185132352919695
0.5,32,0,Bootstrap,100,$Z_3$,False,0.20890279182297666
0.5,32,0,Bootstrap,100,$X_1$,True,-0.016855563248026506
0.5,32,0,Bootstrap,100,$Z_1$,False,0.1549050789557791
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.08610443376068355
0.5,32,0,Bootstrap,100,$X_1$,True,0.09469848727661256
0.5,32,0,Bootstrap,100,$Z_1$,False,0.021160264742213997
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.03295194528389489
0.5,32,0,Bootstrap,100,$X_1$,True,0.1879307823169598
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0033061765912965058
0.5,32,0,Bootstrap,100,$Z_2$,False,0.07640706298074074
0.5,32,0,Bootstrap,100,$Z_3$,False,0.017223024116406194
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.014553670710600652
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.059281859188789365
0.5,32,0,Bootstrap,100,$X_1$,True,0.0360214452283949
0.5,32,0,Bootstrap,100,$Z_1$,False,0.020171236409435966
0.5,32,0,Bootstrap,100,$Z_2$,False,0.024204576571304592
0.5,32,0,Bootstrap,100,$Z_3$,False,0.054190429022378694
0.5,32,0,Bootstrap,100,$X_1$,True,0.2643493546877864
0.5,32,0,Bootstrap,100,$Z_1$,False,0.24858028906021623
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.17588533695349984
0.5,32,0,Bootstrap,100,$X_1$,True,0.08389296708888772
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.02908367673992629
0.5,32,0,Bootstrap,100,$Z_2$,False,0.09581889295395829
0.5,32,0,Bootstrap,100,$Z_3$,False,0.03758067402368859
0.5,32,0,Bootstrap,100,$X_1$,True,0.17754483962403222
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.007888292263292573
0.5,32,0,Bootstrap,100,$Z_2$,False,0.047555601431668926
0.5,32,0,Bootstrap,100,$Z_3$,False,0.22218115271646965
0.5,32,0,Bootstrap,100,$X_1$,True,0.26988375084718275
0.5,32,0,Bootstrap,100,$Z_1$,False,0.05086133503200374
0.5,32,0,Bootstrap,100,$Z_2$,False,0.012069291887454536
0.5,32,0,Bootstrap,100,$Z_3$,False,0.2657773071908647
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,0.10010978744173693
0.5,32,0,Bootstrap,100,$Z_2$,False,0.08838008396831931
0.5,32,0,Bootstrap,100,$Z_3$,False,0.13742390561523
0.5,32,0,Bootstrap,100,$X_1$,True,0.14784505615586596
0.5,32,0,Bootstrap,100,$Z_1$,False,0.07792559142941569
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.003758047508047202
0.5,32,0,Bootstrap,100,$Z_3$,False,0.15810767191020947
0.5,32,0,Bootstrap,100,$X_1$,True,-0.2293623348347127
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.25520570134787723
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.15644443329718127
0.5,32,0,Bootstrap,100,$X_1$,True,0.22087799353424353
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.036463537857987394
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.19850716516133504
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.06356831995618739
0.5,32,0,Bootstrap,100,$X_1$,True,0.34738317560492504
0.5,32,0,Bootstrap,100,$Z_1$,False,0.017920874944919785
0.5,32,0,Bootstrap,100,$Z_2$,False,0.2932985262109302
0.5,32,0,Bootstrap,100,$Z_3$,False,0.08716732243125724
0.5,32,0,Bootstrap,100,$X_1$,True,0.1041313015421017
0.5,32,0,Bootstrap,100,$Z_1$,False,0.14206798377541707
0.5,32,0,Bootstrap,100,$Z_2$,False,0.041703677942361406
0.5,32,0,Bootstrap,100,$Z_3$,False,0.00669200113018098
0.5,32,0,Bootstrap,100,$X_1$,True,0.3905166895673895
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.02624536411301115
