feature,mi_original,mi_null,delta,iteration,protocol,is_informative
$X_1$,0.28241852279048585,0.005722482063799994,0.27669604072668585,16,Bootstrap,True
$Z_{1}$,0.10161519021186027,0.0,0.10161519021186027,16,Bootstrap,False
$Z_{2}$,0.09762793734655029,0.0,0.09762793734655029,16,Bootstrap,False
$Z_{3}$,0.08993141317056041,0.0010942164287652822,0.08883719674179513,16,Bootstrap,False
$X_1$,0.3017995613619686,0.0006208406118357601,0.30117872075013286,17,Bootstrap,True
$Z_{1}$,0.09534059679634144,0.0,0.09534059679634144,17,Bootstrap,False
$Z_{2}$,0.09391651982248383,0.005590701619832217,0.08832581820265162,17,Bootstrap,False
$Z_{3}$,0.09195999174487257,0.0,0.09195999174487257,17,Bootstrap,False
$X_1$,0.28680666677744315,0.0019030074269568154,0.28490365935048634,18,Bootstrap,True
$Z_{1}$,0.09016520028602848,0.0062371510179568546,0.08392804926807163,18,Bootstrap,False
$Z_{2}$,0.09354365930274833,0.0,0.09354365930274833,18,Bootstrap,False
$Z_{3}$,0.07892892591957423,0.0042545531918194435,0.07467437272775479,18,Bootstrap,False
$X_1$,0.29823225679916354,0.0,0.29823225679916354,19,Bootstrap,True
$Z_{1}$,0.09012591682425386,0.008558812251297176,0.08156710457295668,19,Bootstrap,False
$Z_{2}$,0.10794596468781581,0.006513460019244466,0.10143250466857134,19,Bootstrap,False
$Z_{3}$,0.09800302589246845,0.0,0.09800302589246845,19,Bootstrap,False
$X_1$,0.2729274238493986,0.0005966390847222947,0.2723307847646763,20,Bootstrap,True
$Z_{1}$,0.0861594190052033,0.0,0.0861594190052033,20,Bootstrap,False
$Z_{2}$,0.1022591688750416,0.00641973311900168,0.09583943575603993,20,Bootstrap,False
$Z_{3}$,0.09433107425311249,0.0,0.09433107425311249,20,Bootstrap,False
$X_1$,0.28544237448323506,0.005639768788228583,0.2798026056950065,21,Bootstrap,True
$Z_{1}$,0.09232896730930307,0.0012447203817433916,0.09108424692755968,21,Bootstrap,False
$Z_{2}$,0.08577125223616289,0.005704691382878657,0.08006656085328423,21,Bootstrap,False
$Z_{3}$,0.08797373416316745,0.0,0.08797373416316745,21,Bootstrap,False
$X_1$,0.29083701860718936,0.0,0.29083701860718936,22,Bootstrap,True
$Z_{1}$,0.08296839350626195,0.007298377905910591,0.07567001560035136,22,Bootstrap,False
$Z_{2}$,0.11693759759826561,0.0018171597687266505,0.11512043782953896,22,Bootstrap,False
$Z_{3}$,0.11295481918137584,0.0,0.11295481918137584,22,Bootstrap,False
$X_1$,0.2938033922407228,0.007825464784030789,0.28597792745669204,23,Bootstrap,True
$Z_{1}$,0.0940769566744577,0.0032677373689340428,0.09080921930552366,23,Bootstrap,False
$Z_{2}$,0.10349799654182856,0.0,0.10349799654182856,23,Bootstrap,False
$Z_{3}$,0.10303946950115961,0.0036085388034963195,0.09943093069766329,23,Bootstrap,False
$X_1$,0.28363787845235433,0.008050614696193392,0.27558726375616094,24,Bootstrap,True
$Z_{1}$,0.10829346139818785,0.01238967713185124,0.09590378426633661,24,Bootstrap,False
$Z_{2}$,0.11106323695886511,0.0007839099736144384,0.11027932698525067,24,Bootstrap,False
$Z_{3}$,0.10334509895489097,0.004279286231776869,0.0990658127231141,24,Bootstrap,False
$X_1$,0.30046826665392934,0.010766818336587658,0.2897014483173417,25,Bootstrap,True
$Z_{1}$,0.0866920435050158,0.0,0.0866920435050158,25,Bootstrap,False
$Z_{2}$,0.11573016084610499,0.010354439541738092,0.1053757213043669,25,Bootstrap,False
$Z_{3}$,0.10206377397031963,0.0,0.10206377397031963,25,Bootstrap,False
$X_1$,0.2857442144908453,0.0006385490057523313,0.285105665485093,26,Bootstrap,True
$Z_{1}$,0.0857533067721925,0.0,0.0857533067721925,26,Bootstrap,False
$Z_{2}$,0.11761813489484751,0.0,0.11761813489484751,26,Bootstrap,False
$Z_{3}$,0.08678948315545698,0.004479174756626403,0.08231030839883058,26,Bootstrap,False
$X_1$,0.2912495545167981,0.0,0.2912495545167981,27,Bootstrap,True
$Z_{1}$,0.06567165729606295,0.00497879679034785,0.060692860505715096,27,Bootstrap,False
$Z_{2}$,0.11817186200929086,0.005498680770215092,0.11267318123907577,27,Bootstrap,False
$Z_{3}$,0.11626001625341242,0.0012415285348974514,0.11501848771851497,27,Bootstrap,False
$X_1$,0.2902787518446046,0.0,0.2902787518446046,28,Bootstrap,True
$Z_{1}$,0.09057048854191274,0.006826534145775387,0.08374395439613735,28,Bootstrap,False
$Z_{2}$,0.10165420241773582,0.010832167503339374,0.09082203491439644,28,Bootstrap,False
$Z_{3}$,0.08402097400421482,0.0026932146765212828,0.08132775932769354,28,Bootstrap,False
$X_1$,0.288201376072849,0.0,0.288201376072849,29,Bootstrap,True
$Z_{1}$,0.09317759194459851,0.0007789639601787357,0.09239862798441978,29,Bootstrap,False
$Z_{2}$,0.10952417215450971,0.0031536280943429418,0.10637054406016677,29,Bootstrap,False
$Z_{3}$,0.10746168805262535,0.00276319675963288,0.10469849129299247,29,Bootstrap,False
$X_1$,0.2811287115603851,0.0,0.2811287115603851,30,Bootstrap,True
$Z_{1}$,0.08513969709969471,0.0,0.08513969709969471,30,Bootstrap,False
$Z_{2}$,0.10792177486406729,0.000634707963969916,0.10728706690009737,30,Bootstrap,False
$Z_{3}$,0.1038134256597747,0.0046893300239365665,0.09912409563583813,30,Bootstrap,False
$X_1$,0.3046694468669233,0.00027311969162902017,0.3043963271752943,31,Bootstrap,True
$Z_{1}$,0.08788178660949075,0.0,0.08788178660949075,31,Bootstrap,False
$Z_{2}$,0.1177295380636596,0.005541837703056274,0.11218770036060333,31,Bootstrap,False
$Z_{3}$,0.10929274140884848,0.0015197491846659084,0.10777299222418257,31,Bootstrap,False
$X_1$,0.3002607163583104,0.0,0.3002607163583104,32,Bootstrap,True
$Z_{1}$,0.09456792878018971,0.004829740173651675,0.08973818860653804,32,Bootstrap,False
$Z_{2}$,0.11047732224931517,0.0,0.11047732224931517,32,Bootstrap,False
$Z_{3}$,0.10051223024493439,0.0,0.10051223024493439,32,Bootstrap,False
$X_1$,0.301640071692439,0.003996529354771461,0.29764354233766754,33,Bootstrap,True
$Z_{1}$,0.08193062291700537,0.0008465889289746009,0.08108403398803077,33,Bootstrap,False
$Z_{2}$,0.11280810360544624,0.0,0.11280810360544624,33,Bootstrap,False
$Z_{3}$,0.09964021766608067,0.0,0.09964021766608067,33,Bootstrap,False
$X_1$,0.28598579942476543,0.00015992012301646596,0.28582587930174896,34,Bootstrap,True
$Z_{1}$,0.0935667057159324,0.009470455498897135,0.08409625021703526,34,Bootstrap,False
$Z_{2}$,0.1098500744188513,0.00826155528389716,0.10158851913495415,34,Bootstrap,False
$Z_{3}$,0.09239416204389972,0.0,0.09239416204389972,34,Bootstrap,False
$X_1$,0.2953936675904052,0.0,0.2953936675904052,35,Bootstrap,True
$Z_{1}$,0.08696778951932194,0.0,0.08696778951932194,35,Bootstrap,False
$Z_{2}$,0.10118680736518337,0.0009048011575130133,0.10028200620767036,35,Bootstrap,False
$Z_{3}$,0.10030230454534061,0.0035961548993372894,0.09670614964600333,35,Bootstrap,False
$X_1$,0.29459450720874436,0.00762307229600756,0.2869714349127368,36,Bootstrap,True
$Z_{1}$,0.09823558914183916,0.0017301645084648598,0.0965054246333743,36,Bootstrap,False
$Z_{2}$,0.10212744707278931,0.007969151120888807,0.0941582959519005,36,Bootstrap,False
$Z_{3}$,0.08812102013933076,0.0,0.08812102013933076,36,Bootstrap,False
$X_1$,0.29394826032564647,0.010023108649073631,0.28392515167657284,37,Bootstrap,True
$Z_{1}$,0.09246272389668508,0.0,0.09246272389668508,37,Bootstrap,False
$Z_{2}$,0.10164353676601934,0.004298725453169894,0.09734481131284944,37,Bootstrap,False
$Z_{3}$,0.10258054825566054,0.01127933581158791,0.09130121244407263,37,Bootstrap,False
$X_1$,0.28348421190749207,0.0,0.28348421190749207,38,Bootstrap,True
$Z_{1}$,0.09155955982415565,0.0,0.09155955982415565,38,Bootstrap,False
$Z_{2}$,0.09167964892679681,0.0,0.09167964892679681,38,Bootstrap,False
$Z_{3}$,0.1047651155809608,0.0,0.1047651155809608,38,Bootstrap,False
$X_1$,0.29543691600022726,0.005911936780147897,0.28952497922007936,39,Bootstrap,True
$Z_{1}$,0.08823161410793556,0.007413810452570946,0.08081780365536462,39,Bootstrap,False
$Z_{2}$,0.10337974952854045,0.0,0.10337974952854045,39,Bootstrap,False
$Z_{3}$,0.10056280078325397,0.0054521390096797795,0.09511066177357419,39,Bootstrap,False
$X_1$,0.2814958207551268,0.013482497940693783,0.268013322814433,40,Bootstrap,True
$Z_{1}$,0.10686255672360145,0.0006918376047888586,0.1061707191188126,40,Bootstrap,False
$Z_{2}$,0.11916226348843972,0.0,0.11916226348843972,40,Bootstrap,False
$Z_{3}$,0.09373034320431373,0.0,0.09373034320431373,40,Bootstrap,False
$X_1$,0.2891986216055773,0.0,0.2891986216055773,41,Bootstrap,True
$Z_{1}$,0.10352835806237781,0.0,0.10352835806237781,41,Bootstrap,False
$Z_{2}$,0.09293166025833566,0.009462458684309283,0.08346920157402637,41,Bootstrap,False
$Z_{3}$,0.08123711845772696,0.0,0.08123711845772696,41,Bootstrap,False
$X_1$,0.2949226700597052,0.0,0.2949226700597052,42,Bootstrap,True
$Z_{1}$,0.08890800153357414,0.0011107773913261454,0.087797224142248,42,Bootstrap,False
$Z_{2}$,0.11028013803386649,0.0,0.11028013803386649,42,Bootstrap,False
$Z_{3}$,0.1028732222077946,0.009972297142427866,0.09290092506536674,42,Bootstrap,False
$X_1$,0.28271186639414125,0.009238750876550128,0.2734731155175911,43,Bootstrap,True
$Z_{1}$,0.09279815637135957,0.0013113244257403345,0.09148683194561924,43,Bootstrap,False
$Z_{2}$,0.1203637396590187,0.0,0.1203637396590187,43,Bootstrap,False
$Z_{3}$,0.10070919776362475,0.0,0.10070919776362475,43,Bootstrap,False
$X_1$,0.28386371291904733,0.0,0.28386371291904733,44,Bootstrap,True
$Z_{1}$,0.08314313267081586,0.0035422301345002793,0.07960090253631558,44,Bootstrap,False
$Z_{2}$,0.10662986716461553,0.007325127465182657,0.09930473969943288,44,Bootstrap,False
$Z_{3}$,0.08682175021295979,0.0,0.08682175021295979,44,Bootstrap,False
$X_1$,0.280043405486333,0.005786205396947519,0.2742572000893855,45,Bootstrap,True
$Z_{1}$,0.09217066698127319,0.0,0.09217066698127319,45,Bootstrap,False
$Z_{2}$,0.1286712021658154,0.006762708868520928,0.12190849329729447,45,Bootstrap,False
$Z_{3}$,0.08629201668363429,0.00016756355303693127,0.08612445313059736,45,Bootstrap,False
$X_1$,0.2896169028475024,0.0011002410317257905,0.2885166618157766,46,Bootstrap,True
$Z_{1}$,0.07920310107285422,0.0,0.07920310107285422,46,Bootstrap,False
$Z_{2}$,0.07090861662223213,0.0028044313695883005,0.06810418525264383,46,Bootstrap,False
$Z_{3}$,0.09416166408881699,0.0,0.09416166408881699,46,Bootstrap,False
$X_1$,0.2848950408531987,0.006863515036542811,0.2780315258166559,47,Bootstrap,True
$Z_{1}$,0.07755076789854254,0.0,0.07755076789854254,47,Bootstrap,False
$Z_{2}$,0.09715640352504407,0.0,0.09715640352504407,47,Bootstrap,False
$Z_{3}$,0.10179003551927268,0.004106647940065322,0.09768338757920736,47,Bootstrap,False
$X_1$,0.28839381987889023,0.0,0.28839381987889023,48,Bootstrap,True
$Z_{1}$,0.09662946060941824,0.0,0.09662946060941824,48,Bootstrap,False
$Z_{2}$,0.11231281707546525,0.0007050024268329125,0.11160781464863234,48,Bootstrap,False
$Z_{3}$,0.09069319833835632,0.0,0.09069319833835632,48,Bootstrap,False
$X_1$,0.2857743368368124,0.0003055156395257441,0.28546882119728667,49,Bootstrap,True
$Z_{1}$,0.09321267486306484,0.00278325117244993,0.09042942369061491,49,Bootstrap,False
$Z_{2}$,0.11726242217956795,0.0,0.11726242217956795,49,Bootstrap,False
$Z_{3}$,0.09034571717531836,0.0,0.09034571717531836,49,Bootstrap,False
$X_1$,0.21111541083722085,0.02385443704985679,0.18726097378736406,0,K-Fold CV,True
$Z_{1}$,0.0023121609550034172,0.0,0.0023121609550034172,0,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,0,K-Fold CV,False
$Z_{3}$,0.005473468192209285,0.0,0.005473468192209285,0,K-Fold CV,False
$X_1$,0.2353619668137501,0.013588434894511892,0.2217735319192382,1,K-Fold CV,True
$Z_{1}$,0.0,0.0067814000097921046,-0.0067814000097921046,1,K-Fold CV,False
$Z_{2}$,0.000982698936508264,0.0195494624702075,-0.018566763533699238,1,K-Fold CV,False
$Z_{3}$,0.017710980656508113,0.003570116466928841,0.014140864189579272,1,K-Fold CV,False
$X_1$,0.25183986456869834,0.0,0.25183986456869834,2,K-Fold CV,True
$Z_{1}$,0.0051730080822345315,0.027212014354786707,-0.022039006272552175,2,K-Fold CV,False
$Z_{2}$,0.011408062693310406,0.012368772064965228,-0.0009607093716548221,2,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,2,K-Fold CV,False
$X_1$,0.2285940671959803,0.0,0.2285940671959803,3,K-Fold CV,True
$Z_{1}$,0.0032538107066200084,0.0,0.0032538107066200084,3,K-Fold CV,False
$Z_{2}$,0.020530508617636833,0.0,0.020530508617636833,3,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,3,K-Fold CV,False
$X_1$,0.2278293591278615,0.01649825351409806,0.21133110561376345,4,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,4,K-Fold CV,False
$Z_{2}$,0.0,0.0031409007709704007,-0.0031409007709704007,4,K-Fold CV,False
$Z_{3}$,0.02273232829190297,0.0,0.02273232829190297,4,K-Fold CV,False
$X_1$,0.20227848000991067,0.0,0.20227848000991067,5,K-Fold CV,True
$Z_{1}$,0.021986033722337872,0.016415050573220125,0.0055709831491177475,5,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,5,K-Fold CV,False
$Z_{3}$,0.0066298121959245115,0.0,0.0066298121959245115,5,K-Fold CV,False
$X_1$,0.24321751143628312,0.0,0.24321751143628312,6,K-Fold CV,True
$Z_{1}$,0.0,0.00861582262338656,-0.00861582262338656,6,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,6,K-Fold CV,False
$Z_{3}$,0.009008284652303633,0.005780703448177604,0.0032275812041260288,6,K-Fold CV,False
$X_1$,0.22645996498469945,0.002714626247267926,0.22374533873743152,7,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,7,K-Fold CV,False
$Z_{2}$,0.030354389231737944,0.0,0.030354389231737944,7,K-Fold CV,False
$Z_{3}$,0.015361899096762333,0.007180196237993375,0.008181702858768958,7,K-Fold CV,False
$X_1$,0.22609570375711963,0.0,0.22609570375711963,8,K-Fold CV,True
$Z_{1}$,0.01686432995554288,0.00793515116505672,0.008929178790486159,8,K-Fold CV,False
$Z_{2}$,0.009224921532633878,0.0,0.009224921532633878,8,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,8,K-Fold CV,False
$X_1$,0.24434610974865545,0.0037226508462588903,0.24062345890239656,9,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,9,K-Fold CV,False
$Z_{2}$,0.005541376811331933,0.017530569741948554,-0.011989192930616621,9,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,9,K-Fold CV,False
$X_1$,0.22961434702716255,0.00013863339968667177,0.22947571362747587,10,K-Fold CV,True
$Z_{1}$,0.004808342311345637,0.0,0.004808342311345637,10,K-Fold CV,False
$Z_{2}$,0.0045172821561068055,0.00043388207814798463,0.004083400077958821,10,K-Fold CV,False
$Z_{3}$,0.011914051262473357,0.003945566360497921,0.007968484901975437,10,K-Fold CV,False
$X_1$,0.22912636512014894,0.0,0.22912636512014894,11,K-Fold CV,True
$Z_{1}$,0.0,0.010617896285080697,-0.010617896285080697,11,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,11,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,11,K-Fold CV,False
$X_1$,0.2539971112392727,0.0,0.2539971112392727,12,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,12,K-Fold CV,False
$Z_{2}$,0.0,0.0023468753401845177,-0.0023468753401845177,12,K-Fold CV,False
$Z_{3}$,0.0,0.014325665434231194,-0.014325665434231194,12,K-Fold CV,False
$X_1$,0.2299893047792385,0.0,0.2299893047792385,13,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,13,K-Fold CV,False
$Z_{2}$,0.034327612772693694,0.0,0.034327612772693694,13,K-Fold CV,False
$Z_{3}$,0.0,0.0010043333577507418,-0.0010043333577507418,13,K-Fold CV,False
$X_1$,0.23038935289037177,0.010760618274061606,0.21962873461631016,14,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,14,K-Fold CV,False
$Z_{2}$,0.028964853319202177,0.0,0.028964853319202177,14,K-Fold CV,False
$Z_{3}$,0.019906220491761495,0.015294083247976431,0.004612137243785064,14,K-Fold CV,False
$X_1$,0.2312439228048606,0.01423345019412503,0.21701047261073558,15,K-Fold CV,True
$Z_{1}$,0.012588275196712573,0.011359975554505741,0.0012282996422068315,15,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,15,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,15,K-Fold CV,False
$X_1$,0.23301629795477674,0.0,0.23301629795477674,16,K-Fold CV,True
$Z_{1}$,0.015217773700772153,0.0,0.015217773700772153,16,K-Fold CV,False
$Z_{2}$,0.0036440391971779285,0.0,0.0036440391971779285,16,K-Fold CV,False
$Z_{3}$,0.0,0.0024494865604087757,-0.0024494865604087757,16,K-Fold CV,False
$X_1$,0.22393891750391282,0.007868853261630893,0.21607006424228192,17,K-Fold CV,True
$Z_{1}$,0.009690810155972063,0.020825551149002308,-0.011134740993030245,17,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,17,K-Fold CV,False
$Z_{3}$,0.018128647981874302,0.004492328818581637,0.013636319163292665,17,K-Fold CV,False
$X_1$,0.2248855804996348,0.0,0.2248855804996348,18,K-Fold CV,True
$Z_{1}$,0.004791384425300915,0.0,0.004791384425300915,18,K-Fold CV,False
$Z_{2}$,0.004117044183089114,0.030940339360563396,-0.026823295177474282,18,K-Fold CV,False
$Z_{3}$,0.005871811102391877,0.0029914885510704536,0.0028803225513214237,18,K-Fold CV,False
$X_1$,0.25173657659682847,0.0025484899996151,0.24918808659721337,19,K-Fold CV,True
$Z_{1}$,0.012828725162628896,0.0008595667152970776,0.011969158447331818,19,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,19,K-Fold CV,False
$Z_{3}$,0.011004724018807366,0.029272770638137047,-0.01826804661932968,19,K-Fold CV,False
$X_1$,0.21993153609588023,0.01512650415457406,0.20480503194130617,20,K-Fold CV,True
$Z_{1}$,0.00388209573995546,0.014942188653702448,-0.011060092913746988,20,K-Fold CV,False
$Z_{2}$,0.0,0.017762365630435095,-0.017762365630435095,20,K-Fold CV,False
$Z_{3}$,0.019001839246139074,0.0017588812480489047,0.01724295799809017,20,K-Fold CV,False
$X_1$,0.2229431918111877,0.00036704821012367717,0.22257614360106404,21,K-Fold CV,True
$Z_{1}$,0.0037512115373985466,0.0,0.0037512115373985466,21,K-Fold CV,False
$Z_{2}$,0.012738675162973223,0.026735063334896392,-0.013996388171923169,21,K-Fold CV,False
$Z_{3}$,0.005087494970068551,0.003057378106057218,0.002030116864011333,21,K-Fold CV,False
$X_1$,0.24671554978856713,0.00926011230993451,0.23745543747863262,22,K-Fold CV,True
$Z_{1}$,0.0140879162909755,0.0,0.0140879162909755,22,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,22,K-Fold CV,False
$Z_{3}$,0.0,0.014997533731821111,-0.014997533731821111,22,K-Fold CV,False
$X_1$,0.20993623834845687,0.006960765589509865,0.202975472758947,23,K-Fold CV,True
$Z_{1}$,0.006019944866421323,0.0,0.006019944866421323,23,K-Fold CV,False
$Z_{2}$,0.0,0.007097434640821909,-0.007097434640821909,23,K-Fold CV,False
$Z_{3}$,0.0016743726022414585,0.0,0.0016743726022414585,23,K-Fold CV,False
$X_1$,0.2422218938032048,0.01709700772890077,0.22512488607430403,24,K-Fold CV,True
$Z_{1}$,0.005182154095486169,0.011224183806402,-0.0060420297109158305,24,K-Fold CV,False
$Z_{2}$,0.0058689367013879945,0.0027762162854463313,0.0030927204159416632,24,K-Fold CV,False
$Z_{3}$,0.0,0.02723488264936913,-0.02723488264936913,24,K-Fold CV,False
$X_1$,0.24217555608115293,0.0,0.24217555608115293,25,K-Fold CV,True
$Z_{1}$,0.0,0.00030874078416198714,-0.00030874078416198714,25,K-Fold CV,False
$Z_{2}$,0.013684064690785647,0.027892453101892034,-0.014208388411106387,25,K-Fold CV,False
$Z_{3}$,0.0,0.0,0.0,25,K-Fold CV,False
$X_1$,0.23440377363935028,0.0,0.23440377363935028,26,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,26,K-Fold CV,False
$Z_{2}$,0.0,0.004752358395286205,-0.004752358395286205,26,K-Fold CV,False
$Z_{3}$,0.0,0.015136906673057116,-0.015136906673057116,26,K-Fold CV,False
$X_1$,0.21710270975611556,0.008138435181843207,0.20896427457427236,27,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,27,K-Fold CV,False
$Z_{2}$,0.026172902697470857,0.0,0.026172902697470857,27,K-Fold CV,False
$Z_{3}$,0.0,0.013854634478127181,-0.013854634478127181,27,K-Fold CV,False
$X_1$,0.22462058860974832,0.019825895228722246,0.20479469338102607,28,K-Fold CV,True
$Z_{1}$,0.0,0.0,0.0,28,K-Fold CV,False
$Z_{2}$,0.0,0.012160977238091508,-0.012160977238091508,28,K-Fold CV,False
$Z_{3}$,0.022237229514366685,0.008558170037551438,0.013679059476815247,28,K-Fold CV,False
$X_1$,0.23209997934933102,0.0,0.23209997934933102,29,K-Fold CV,True
$Z_{1}$,0.005993828668562351,0.0,0.005993828668562351,29,K-Fold CV,False
$Z_{2}$,0.0,0.0,0.0,29,K-Fold CV,False
$Z_{3}$,0.015846263354905687,0.0,0.015846263354905687,29,K-Fold CV,False
