combo,combo_size,logloss_original,logloss_null,delta,realization,has_informative,combo_type
"('$Z_{2}$', '$Z_{5}$')",2,0.7118554247580423,0.7014740386904801,-0.010381386067562226,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{6}$')",2,0.7030740408449849,0.719177220530119,0.016103179685134084,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{4}$')",2,0.7103654388991596,0.7112999373092728,0.0009344984101131715,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{5}$')",2,0.7065795172732378,0.7096896482142093,0.003110130940971567,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{6}$')",2,0.7020300991983531,0.7114543820681722,0.009424282869819112,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{4}$', '$Z_{5}$')",2,0.7107031441809427,0.7083999978459451,-0.002303146334997619,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{4}$', '$Z_{6}$')",2,0.7137094828914837,0.7138059588257532,9.647593426942436e-05,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{5}$', '$Z_{6}$')",2,0.7009871592309168,0.7102003531114147,0.009213193880497905,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$X_1$', '$X_2$', '$Z_{1}$')",3,0.16379245121126335,0.6999751938579425,0.5361827426466792,24,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{2}$')",3,0.16939273862039614,0.6986000840139396,0.5292073453935434,24,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{3}$')",3,0.15682853691484247,0.7045469627605032,0.5477184258456608,24,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{4}$')",3,0.16551946965924633,0.7099022661372266,0.5443827964779803,24,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{5}$')",3,0.1584031895067018,0.6992594519727617,0.54085626246606,24,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{6}$')",3,0.16159854313899558,0.7085822066587575,0.5469836635197619,24,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$Z_{1}$', '$Z_{2}$')",3,0.7078455524990674,0.7044427800948254,-0.003402772404242027,24,True,"$|S \cap \{1,2\}| = 1$"
