feature_idx,feature,importance_gini,importance_permutation_rmse,importance_shap_mean_abs,importance_lime_mean_abscoef,boruta_rank,boruta_selected
0,X_causal,0.07259754213520225,-0.0003494072797286307,0.00812106625840388,0.03636538264202786,3,False
1,X_conf,0.5088000533601967,0.08519508842750538,0.17674707894552866,0.12316968868134437,1,True
2,X_syn1,0.10309363677051783,0.01678929844869465,0.02311523437505843,0.0674622023932075,1,True
3,X_syn2,0.10109913012862781,0.017185625162998455,0.021883001850997393,0.06714546098106094,1,True
4,Z_noise1,0.07340561687900787,0.0004396056928924419,0.009483558378032487,0.008768271539646239,2,False
5,Z_noise2,0.0724593846144895,-0.0006308923598719965,0.01034420494589242,0.009315360433406177,3,False
6,Z_noise3,0.06854463611195812,0.0003857511540280264,0.006924136679353704,0.00851225865562716,5,False
